M_planet (M_Earth),M_planet (kg),Pressure (bar),Total Delta-V (km/s)
1.233989e+00,7.369381e+24,1.000000e+01,1.407950e+01
1.330474e+00,7.945590e+24,1.000000e-01,1.402172e+01
1.330474e+00,7.945590e+24,1.172102e-01,1.402242e+01
1.330474e+00,7.945590e+24,1.373824e-01,1.402325e+01
1.330474e+00,7.945590e+24,1.610262e-01,1.402422e+01
1.330474e+00,7.945590e+24,1.887392e-01,1.402535e+01
1.330474e+00,7.945590e+24,2.212216e-01,1.402668e+01
1.330474e+00,7.945590e+24,2.592944e-01,1.402824e+01
1.330474e+00,7.945590e+24,3.039195e-01,1.403006e+01
1.330474e+00,7.945590e+24,3.562248e-01,1.403219e+01
1.330474e+00,7.945590e+24,4.175319e-01,1.403469e+01
1.330474e+00,7.945590e+24,4.893901e-01,1.403761e+01
1.330474e+00,7.945590e+24,5.736153e-01,1.404102e+01
1.330474e+00,7.945590e+24,6.723358e-01,1.404501e+01
1.330474e+00,7.945590e+24,7.880463e-01,1.404967e+01
1.330474e+00,7.945590e+24,9.236709e-01,1.405510e+01
1.330474e+00,7.945590e+24,1.000000e+00,1.405816e+01
1.330474e+00,7.945590e+24,1.082637e+00,1.406145e+01
1.330474e+00,7.945590e+24,1.268961e+00,1.406885e+01
1.330474e+00,7.945590e+24,1.487352e+00,1.407746e+01
1.330474e+00,7.945590e+24,1.743329e+00,1.408749e+01
1.330474e+00,7.945590e+24,2.043360e+00,1.409913e+01
1.330474e+00,7.945590e+24,2.395027e+00,1.411263e+01
1.330474e+00,7.945590e+24,2.807216e+00,1.412826e+01
1.330474e+00,7.945590e+24,3.290345e+00,1.414630e+01
1.330474e+00,7.945590e+24,3.856620e+00,1.416707e+01
1.330474e+00,7.945590e+24,4.520354e+00,1.419958e+01
